NCBI-017	Pseudopodoces_humilis	GCA_000331425.1
NCBI-018	Serinus_canaria	GCA_000534875.1
NCBI-019	Patagioenas_fasciata	GCA_002029285.1
NCBI-020	Corvus_cornix_cornix	GCA_000738735.2
NCBI-021	Passer_domesticus	GCA_001700915.1
NCBI-022	Parus_major	GCA_001522545.2
NCBI-024	Colinus_virginianus	GCA_000599465.2
NCBI-025	Callipepla_squamata	GCA_002218305.1
NCBI-026	Sporophila_hypoxantha	GCA_002167245.1
NCBI-027	Urile_pelagicus	GCA_002173435.1
NCBI-028	Nannopterum_auritus	GCA_002173455.1
NCBI-029	Nannopterum_harrisi	GCA_002173475.1
NCBI-030	Nannopterum_brasilianus	GCA_002174335.1
NCBI-031	Lonchura_striata	GCA_002197715.1
NCBI-032	Anas_zonorhyncha	GCA_002224875.1
NCBI-033	Phylloscopus_trochilus	GCA_002305835.1
NCBI-034	Saxicola_maurus	PRJEB19452(ENA Accession)
NCBI-035	Uria_lomvia	GCA_002289315.1
NCBI-036	Strix_occidentalis_caurina	GCA_002372975.1
NCBI-037	Anas_platyrhynchos	GCA_000355885.1
OUT-0001	Agapornis_roseicollis	GCA_002631895.1
OUT-0002	Oreotrochilus_melanogaster	VZUB00000000
OUT-0003	Alca_torda	VZSD00000000
OUT-0004	Steatornis_caripensis	VZSC00000000
OUT-0007	Caloenas_nicobarica	VZSB00000000
OUT-0008	Melospiza_melodia	VZSA00000000
OUT-0010	Rhegmatorhina_hoffmannsi	VZSN00000000
OUT-0011	Loxia_curvirostra	VZSM00000000
OUT-0012	Junco_hyemalis	GCA_003829775.1
OUT-0013	Sylvia_atricapilla	VZSL00000000
OUT-0015	Erithacus_rubecula	VZSK00000000
OUT-0016	Limosa_lapponica	LXVZ00000000.1
OUT-0017	Passerina_amoena	WBNP00000000
OUT-0018	Pheucticus_melanocephalus	VZSJ00000000
OUT-0019	Uria_aalge	VZUE00000000
OUT-0020	Cepphus_grylle	VZUD00000000
OUT-0021	Rissa_tridactyla	VZUC00000000
OUT-0022	Aphelocoma_coerulescens	VZSI00000000
OUT-0023	Poecile_atricapillus	VZSS00000000
OUT-0024	Cercotrichas_coryphaeus	WBND00000000
OUT-0025	Calonectris_borealis	VZUG00000000
OUT-0026	Apteryx_haastii	PTFD00000000.1
OUT-0027	Apteryx_owenii	PTFC00000000.1
OUT-0028	Apteryx_rowi	PTFB00000000.1
OUT-0029	Crypturellus_cinnamomeus	PTEZ00000000.1
OUT-0030	Nothoprocta_perdicaria	PTEW00000000.1
OUT-0031	Rhea_americana	PTEV00000000.1
OUT-0032	Rhea_pennata	PTJI00000000.1
OUT-0034	Chlorodrepanis_virens	GCA_003286495.1
OUT-0035	Hemignathus_wilsoni	SGIP00000000
OUT-0036	Cairina_moschata	QZEJ00000000
OUT-0037	Brachypodius_atriceps	VZSR00000000
OUT-0039	Certhia_familiaris	WBNC00000000
OUT-0040	Haliaeetus_albicilla	VZSQ00000000
OUT-0045	Phasianus_colchicus	GCA_004143745.1
OUT-0046	Charadrius_alexandrinus	GCA_008711295.1
OUT-0047	Manacus_manacus	GCA_001715985.2
OUT-0048	Vidua_chalybeata	WBNB00000000
OUT-0049	Molothrus_ater	VZUF00000000
OUT-0050	Agelaius_phoeniceus	VZSP00000000
OUT-0051	Asarcornis_scutulata	VZSO00000000
OUT-0053	Nesospiza_acunhae	VZSU00000000
OUT-0054	Acrocephalus_arundinaceus	VZST00000000
OUT-0055	Atlantisia_rogersi	VZUJ00000000
OUT-0056	Cettia_cetti	VZUI00000000
OUT-0059	Xiphorhynchus_elegans	VZUH00000000
OUT-0060	Corvus_moneduloides	WBNF00000000
OUT-0061	Copsychus_sechellarum	WBNE00000000
OUT-0062	Numida_meleagris	MTSP00000000.1
